File Name,File URL,File Type,Date Created
Filed Security Briefing 132026.pdf,https://drive.google.com/file/d/1WMzLWfX2-XelSKN4-Y81KIe87o_gYQt8/view?usp=drivesdk,application/pdf,1/3/2026 19:49:42
Filed Notice for Restrictive Covenant 132026.pdf,https://drive.google.com/file/d/1CGC-6zGxJP_NqBvNVwfb73Zz3_y9acJl/view?usp=drivesdk,application/pdf,1/3/2026 19:49:34
Notice of Arraignment Hearing.pdf,https://drive.google.com/file/d/1XPRkn4Kwx8nNqIKbUvYhEj5Mh6EOo0dj/view?usp=drivesdk,application/pdf,6/27/2025 1:21:52
Motion Finding of Probable Cause,https://drive.google.com/file/d/1cuQ44byQsGZSMBYqTd0LOVIvwg6gJ9bw/view?usp=drivesdk,application/pdf,10/28/2023 17:25:13
Case Events.pdf,https://drive.google.com/file/d/1JdlAmHJiCjFrCcN6PnC3nORYCLPrI2UW/view?usp=drivesdk,application/pdf,8/13/2024 15:32:41
Case Document List.pdf,https://drive.google.com/file/d/1YLyzkuxGt_S5CqlPWO9NlQs8i-dtp_Ku/view?usp=drivesdk,application/pdf,2/16/2025 14:24:00
Order for Competency Restoration 2023.pdf,https://drive.google.com/file/d/1b8L7fK0tb9UpGN7wS55_A2Y7f3MecqqP/view?usp=drivesdk,application/pdf,5/4/2025 16:22:18
Motion to Dismiss from Tian.pdf,https://drive.google.com/file/d/1vKka37bpfyK0j0nFTf2231mgtCWsH6ui/view?usp=drivesdk,application/pdf,5/5/2025 5:57:18
2022 Competency Evaluation.pdf,https://drive.google.com/file/d/1IrFLNnEZeLZ113hU8WWhdsu8mvIs67RO/view?usp=drivesdk,application/pdf,5/5/2025 5:57:30
CASE STUDY 22‑1‑04242‑3 SEA_ The State of Washington vs - Google Docs (1).pdf,https://drive.google.com/file/d/18jkkAKCZsXBgMXS2sIP8FNoIQFs3N46T/view?usp=drivesdk,application/pdf,5/6/2026 19:52:48
Filed Petition for Declaratory Judgment and to Quit Title  1522026.pdf,https://drive.google.com/file/d/1nCyA91uK09zci7ZWGBP_ElIVAunajvdh/view?usp=drivesdk,application/pdf,1/5/2026 22:36:31
THE SEATTLE-BREMERTON MAJORAT TRUST AGREEMENT - Google Docs.pdf,https://drive.google.com/file/d/1BS3baARnltSyLo3KP-ZB8Gk4YzKptVzj/view?usp=drivesdk,application/pdf,1/5/2026 22:36:31
Seattle-Bremerton Majorat Related Docs Filed 132026.pdf,https://drive.google.com/file/d/1iLunYJ86MHGAwSQjvRP7a3Mp_M2egEki/view?usp=drivesdk,application/pdf,1/3/2026 20:27:06
Filed legal journal entry 132026.pdf,https://drive.google.com/file/d/1wa8yEwVJSSI5i6AmdVH0y6yuO282wU3v/view?usp=drivesdk,application/pdf,1/3/2026 20:02:25
filed majorat boundaries 132026.pdf,https://drive.google.com/file/d/1_oL2OhqIr5ETxApojEi174tRv35bL3HP/view?usp=drivesdk,application/pdf,1/3/2026 19:49:39
LEGAL DOSSIER_ STATE OF WASHINGTON V - Google Docs.pdf,https://drive.google.com/file/d/1Osqc6wBfoxed542Y6xbQuAGURv74ApEi/view?usp=drivesdk,application/pdf,10/1/2025 1:35:33
Case Analysis filed 9272025.pdf,https://drive.google.com/file/d/1K3T1u56FAhXoIlJKtrbeedWnZrvu0q0d/view?usp=drivesdk,application/pdf,9/27/2025 22:04:10
Legal Analysis Memorandum Case 22-1-04242-3 - Google Docs.pdf,https://drive.google.com/file/d/1r3P4cWW6KUSIFLd1Ei7hCReQA7DTffZv/view?usp=drivesdk,application/pdf,9/26/2025 14:13:34
Filed Memorandum 09242025.pdf,https://drive.google.com/file/d/1zIjR5FeW3IktRzjG8lY7tVmZ3mwMmb1h/view?usp=drivesdk,application/pdf,9/24/2025 16:24:30
Journal Case No 22-1-04242-3 - Google Docs.pdf,https://drive.google.com/file/d/1Ykg7R8MPmzdICsnFrdDKcedBFEJp6zt0/view?usp=drivesdk,application/pdf,9/16/2025 0:40:37
Case No. 22-1-04242-3__sea - Google Docs.pdf,https://drive.google.com/file/d/1rUxIITXMPXBAsyPs2M4VCbA30gOw6al3/view?usp=drivesdk,application/pdf,9/15/2025 4:57:45
Order for Restoration 2022.pdf,https://drive.google.com/file/d/1KfRykiHSdVZkbHKtKOSwm7_zBSBs_1oI/view?usp=drivesdk,application/pdf,6/27/2025 1:21:52
Order for Competency Evaluation 2022.pdf,https://drive.google.com/file/d/1RrRx8Doyvsj0YgYOhqOMjpMIIiM3N-b_/view?usp=drivesdk,application/pdf,6/27/2025 1:21:52
2022 DSHS competency report ,https://drive.google.com/file/d/1w4ug43EudXjD4hLHtxn0bkZkidhmOXcV/view?usp=drivesdk,application/pdf,10/28/2023 17:31:42
dw.courts.wa.gov_index.cfm_fa=home.caselist&amp;init&amp;rtlist=name 21625.pdf,https://drive.google.com/file/d/1YdPeFxcCIyZvTRIXBICs3-75kMg5-_Hf/view?usp=drivesdk,application/pdf,2/16/2025 14:23:51
Case Data _ KC-Script Portal events 8232022.pdf,https://drive.google.com/file/d/1Jd8aUXpyr9RdAOYS18Bw4SrSTySN0jFi/view?usp=drivesdk,application/pdf,8/13/2024 15:31:56
States Response.pdf,https://drive.google.com/file/d/11oLdzbh98DeoEMBeXl8SoWn883lbWC5k/view?usp=drivesdk,application/pdf,7/22/2024 14:23:12
Sheriffsfoc2022,https://drive.google.com/file/d/1QkVEXkzishATISvmARzv5HiEmRG7fDqd/view?usp=drivesdk,application/pdf,10/28/2023 17:31:13
