File Name,File URL,File Type,Date Created
Defendant's Narrative.pdf,https://drive.google.com/file/d/1noatIME0VFsuIOKeTEjGIxn1PBtCo1Dp/view?usp=drivesdk,application/pdf,9/15/2025 4:47:54
Worksheet.pdf,https://drive.google.com/file/d/1q1mu_4Va0fO3QtYDNjOyjPusRCxLYtvM/view?usp=drivesdk,application/pdf,5/5/2025 6:22:58
Notice of Charges Pending.pdf,https://drive.google.com/file/d/1_f7yUOpH1qhGtE4Vnh3053avqFeacE2O/view?usp=drivesdk,application/pdf,5/5/2025 6:22:58
Commitment Release Order.pdf,https://drive.google.com/file/d/14qxTAgSlN4ORpO1M-GjSZKVFA7mTwz6v/view?usp=drivesdk,application/pdf,5/5/2025 6:22:57
"Case View - City of Seattle vs LOZENICH, SHANE JONATHAN - Seattle Municipal Court Public Portal.pdf",https://drive.google.com/file/d/1pP6SJHeGKTrEfLjiJjkGkC22mHBMTsc1/view?usp=drivesdk,application/pdf,5/5/2025 6:22:58
