File Name,File URL,File Type,Date Created
Petition for Order for Protection (1).pdf,https://drive.google.com/file/d/1NjZc8DY5OZsu6u93ZNeHUVUkX_-M0VEX/view?usp=drivesdk,application/pdf,5/15/2026 22:39:59
Letter from WA State Auditor's Office.pdf,https://drive.google.com/file/d/1pV9G4rNeJ7U-ZrrkDqOmhiO0AK2uOPWE/view?usp=drivesdk,application/pdf,5/15/2026 22:39:56
Journal Case No 658931 - Google Docs (3).pdf,https://drive.google.com/file/d/1tuZwCcvh0BnHx455MWf95H3HFHbpMdpM/view?usp=drivesdk,application/pdf,5/15/2026 22:39:56
Defendant's Narrative 658931 - Google Docs.pdf,https://drive.google.com/file/d/1iDZiHlXnd7kDK_ShP63c5rZ5tBNXIB5T/view?usp=drivesdk,application/pdf,9/15/2025 4:47:54
Notice of Charges Pending.pdf,https://drive.google.com/file/d/1GzyPjSeABIHHmUZIHg68g_1nnp60ohyh/view?usp=drivesdk,application/pdf,7/1/2024 12:46:47
Original Release Form 658931 .pdf,https://drive.google.com/file/d/1GGovmPmucPYKit6VYvtqV49ecZxymxfN/view?usp=drivesdk,application/pdf,5/16/2023 13:18:03
Case View - 658931.pdf,https://drive.google.com/file/d/1Jvfa8nCjf50A-yTcYls5AWHIcifKOFrw/view?usp=drivesdk,application/pdf,6/22/2025 22:08:35
Commitment Release Order  658931.pdf,https://drive.google.com/file/d/1VuSthuptLqhxhPETAOV_Rvu7Yo021glf/view?usp=drivesdk,application/pdf,6/22/2025 22:08:34
CASE STUDY_ The City of Seattle vs - Google Docs (1).pdf,https://drive.google.com/file/d/1PY6oZjqqr58HWo-42MeI5YfA3F74R304/view?usp=drivesdk,application/pdf,5/6/2026 19:52:49
